generation,name,score
1.2,Matti Hunsworth,9
8.0.1,Cornell Moultrie,9
8.0.1,Rancell Pickavant,9
1.0,Hedda Greenley,11
1.1,Hildegaard Dawid,11
6.0,Caralie Nutbean,11
1.1,Henryetta Marl,12
1.2,Kamilah Haton,12
8.0.1,Edy Edmonds,12
8.0.1,Mason Sawer,12
8.0.1,Toni McAndie,12
8.0.1,Patience Mabbett,12
1.0,Lelia Gun,13
1.0,Parnell Fargher,13
1.1,Perrine Pauluzzi,13
1.2,Rene Grout,13
1.2,Consalve Scading,13
8.0.1,Maitilde Wiles,13
8.0.1,Monica Van der Brugge,13
8.0.1,Bernardine Grimwade,13
8.0.1,Cati Mahony,13
8.0.1,Filberto Dankersley,13
8.0.1,Linn Corns,13
1.0,Monica Shenley,14
1.0,Josh Adamovich,14
1.1,Sharai Heifer,14
1.1,Chantal Stivey,14
1.1,Parsifal Bus,14
1.2,Penni Surmeir,14
1.2,Wayland Semeniuk,14
6.0,El Edmonds,14
8.0.1,Renelle Steele,14
8.0.1,Laurie Hanaford,14
8.0.1,Urban Veitch,14
8.0.1,Linn Taylo,14
8.0.1,Prudi Paty,14
8.0.1,Milt Van Halen,14
8.0.1,Jackson Blacklock,14
8.0.1,Michel Bowring,14
8.0.1,Rianon McCay,14
8.0.1,Arlen Braferton,14
8.0.1,Lucio Carlo,14
8.0.1,Maddy Tabb,14
8.1,Afton Morse,14
1.0,Mead Bourne,15
1.0,Marris Leece,15
1.1,Darsey Renvoise,15
1.2,Edy Pape,15
8.0.1,Rancell Wenban,15
8.0.1,Wit Lundon,15
