generation,name,score
1.1,Terra Palmer,141
1.1,Nicko Letcher,132
1.1,Hillel Overstone,110
1.1,Livvie Tranmer,108
1.1,Lesly Jentzsch,107
1.1,Fay Scattergood,103
1.1,Henryetta Jannings,102
1.1,Berti Brettle,101
1.1,Lise Glander,100
1.1,Araldo Grimwade,100
1.1,Oswald Summerson,99
1.1,Tuckie Endicott,99
1.1,Lynnell Bullocke,99
1.1,Wit Pirrone,99
1.1,Carmina Semeniuk,99
1.1,Harrison Puddephatt,99
1.1,Marsiella Fusco,98
1.1,Alexa Jankovsky,98
1.1,Marius Roney,97
1.1,Ede Fogt,97
1.1,My Duggan,96
1.1,Aloin Beardsell,96
1.1,Livvie Angier,96
1.1,Maria Tinghill,96
1.1,Romona Blanque,95
1.1,Stanwood Miko,95
1.1,Chrystel Kime,95
1.1,Ebony Luigi,94
1.1,Rene Klimontovich,94
1.1,Kaila Laskey,94
1.1,Andrei Bloss,94
1.1,Nadya Hamnett,94
1.1,Philomena Chomicki,94
1.1,Harrison Beardsdale,94
1.1,Perla Peacop,94
1.1,Britteny Mergue,94
1.1,Carmelia Perrone,93
1.1,Layney Trewhella,93
1.1,Giulia Balassa,93
1.1,Maressa Baribal,93
1.1,Urban Witul,93
1.1,Giordano Baggallay,93
1.1,Blakelee Molyneux,93
1.1,Marney Diem,92
1.1,Allyson Rapper,92
1.1,Mae Spykins,92
1.1,Ahmed Cassely,92
1.1,Rania Voelker,92
1.1,Shirlene Chomicki,92
1.1,Demetria Darko,91
1.1,Lynnell Gommery,91
1.1,Alejandrina Morse,91
1.1,Michel McClurg,90
1.1,Dill Ringrose,90
1.1,Risa Laborda,90
1.1,Neille Blaylock,90
1.1,Cassey Iddy,90
1.1,Tybalt Elsdon,90
1.1,Keri Rosenblum,89
1.1,Jillie Newby,89
1.1,Vladamir Laborda,89
1.1,Tallie Wake,89
1.1,Luz Freddi,89
1.1,Veronique Atheis,89
1.1,Rosabella Trittam,89
1.1,Shane Norcock,89
1.1,Fidole Latch,89
1.1,Reider Gasker,89
1.1,Perrine Tomenson,88
1.1,Haleigh Crumly,88
1.1,Alika Baribal,88
1.1,Pammy Southcott,88
1.1,Grantham Ringrose,88
1.1,Lanette Middlemiss,88
1.1,Eleni Knaggs,87
1.1,Saundra Skepper,87
1.1,Ban Baggallay,87
1.1,Linnet Molyneux,87
1.1,Ahmad Splevin,87
1.1,Saundra Yuille,87
1.1,Glen Ribey,87
1.1,Frasier Aslett,87
1.1,Risa Claussen,87
1.1,Erma Scarasbrick,87
1.1,Persis McCurdy,87
1.1,Theodor Mauro,87
1.1,Asher Raecroft,86
1.1,Audre Gatsby,86
